Country,Market Year,Calendar Year,Month,Area Harvested,Beginning Stocks,Ending Stocks,FSI Consumption,Feed and Residual,MY Exports,MY Imports,Production,TY Exports,TY Imp. from U.S.,TY Imports,Total Consumption,Total Distribution,Total Supply,Yield
Afghanistan,2014,2023,5,127.0,0.0,0.0,115.0,235.0,1.0,35.0,316.0,1.0,0.0,1.0,350.0,351.0,351.0,2.4882
Afghanistan,2015,2023,5,147.0,0.0,0.0,115.0,204.0,0.0,3.0,316.0,0.0,0.0,4.0,319.0,319.0,319.0,2.1497
Afghanistan,2016,2023,5,152.0,0.0,0.0,115.0,204.0,0.0,8.0,311.0,0.0,0.0,7.0,319.0,319.0,319.0,2.0461
Afghanistan,2017,2023,5,134.0,0.0,0.0,90.0,95.0,0.0,11.0,174.0,0.0,0.0,12.0,185.0,185.0,185.0,1.2985
Afghanistan,2018,2023,8,72.0,0.0,0.0,30.0,96.0,0.0,19.0,107.0,0.0,0.0,26.0,126.0,126.0,126.0,1.4861
Afghanistan,2019,2023,5,95.0,0.0,0.0,90.0,104.0,0.0,9.0,185.0,0.0,0.0,3.0,194.0,194.0,194.0,1.9474
Afghanistan,2020,2023,5,140.0,0.0,0.0,90.0,192.0,0.0,10.0,272.0,0.0,0.0,11.0,282.0,282.0,282.0,1.9429
Afghanistan,2021,2023,8,139.0,0.0,0.0,70.0,197.0,0.0,3.0,264.0,0.0,0.0,3.0,267.0,267.0,267.0,1.8993
Afghanistan,2022,2023,12,139.0,0.0,0.0,80.0,286.0,0.0,55.0,311.0,0.0,0.0,55.0,366.0,366.0,366.0,2.2374
Afghanistan,2023,2024,1,135.0,0.0,0.0,80.0,189.0,1.0,10.0,260.0,1.0,0.0,10.0,269.0,270.0,270.0,1.9259
Algeria,2014,2015,11,1.0,358.0,540.0,0.0,4200.0,0.0,4381.0,1.0,0.0,239.0,4116.0,4200.0,4740.0,4740.0,1.0
Algeria,2015,2017,9,1.0,540.0,478.0,0.0,4200.0,0.0,4137.0,1.0,0.0,663.0,4329.0,4200.0,4678.0,4678.0,1.0
Algeria,2016,2022,11,1.0,478.0,388.0,0.0,4200.0,0.0,4109.0,1.0,0.0,91.0,3989.0,4200.0,4588.0,4588.0,1.0
Algeria,2017,2022,11,1.0,388.0,373.0,0.0,4200.0,0.0,4184.0,1.0,0.0,48.0,4046.0,4200.0,4573.0,4573.0,1.0
Algeria,2018,2022,11,1.0,373.0,495.0,0.0,4400.0,0.0,4521.0,1.0,0.0,0.0,4831.0,4400.0,4895.0,4895.0,1.0
Algeria,2019,2022,11,1.0,495.0,479.0,0.0,5300.0,0.0,5283.0,1.0,0.0,44.0,5133.0,5300.0,5779.0,5779.0,1.0
Algeria,2020,2022,11,1.0,479.0,300.0,0.0,4800.0,0.0,4620.0,1.0,0.0,181.0,4215.0,4800.0,5100.0,5100.0,1.0
Algeria,2021,2022,12,1.0,300.0,229.0,0.0,3200.0,0.0,3128.0,1.0,0.0,0.0,3273.0,3200.0,3429.0,3429.0,1.0
Algeria,2022,2023,12,1.0,229.0,320.0,0.0,3600.0,0.0,3690.0,1.0,0.0,0.0,4069.0,3600.0,3920.0,3920.0,1.0
Algeria,2023,2024,1,1.0,320.0,321.0,0.0,4400.0,0.0,4400.0,1.0,0.0,0.0,4400.0,4400.0,4721.0,4721.0,1.0
Azerbaijan,2014,2020,11,38.0,69.0,70.0,25.0,375.0,0.0,197.0,204.0,0.0,0.0,184.0,400.0,470.0,470.0,5.3684
Azerbaijan,2015,2020,11,37.0,70.0,52.0,25.0,325.0,0.0,118.0,214.0,0.0,0.0,116.0,350.0,402.0,402.0,5.7838
Azerbaijan,2016,2020,11,36.0,52.0,26.0,25.0,325.0,4.0,104.0,224.0,4.0,0.0,102.0,350.0,380.0,380.0,6.2222
Azerbaijan,2017,2020,11,36.0,26.0,20.0,25.0,275.0,0.0,58.0,236.0,0.0,0.0,52.0,300.0,320.0,320.0,6.5556
Azerbaijan,2018,2020,11,32.0,20.0,25.0,25.0,280.0,0.0,62.0,248.0,0.0,0.0,63.0,305.0,330.0,330.0,7.75
Azerbaijan,2019,2022,5,33.0,25.0,23.0,25.0,325.0,3.0,67.0,284.0,3.0,0.0,66.0,350.0,376.0,376.0,8.6061
Azerbaijan,2020,2022,10,34.0,23.0,20.0,25.0,325.0,3.0,28.0,322.0,10.0,0.0,24.0,350.0,373.0,373.0,9.4706
Azerbaijan,2021,2023,8,32.0,20.0,24.0,25.0,260.0,47.0,49.0,287.0,59.0,0.0,69.0,285.0,356.0,356.0,8.9688
Azerbaijan,2022,2023,9,33.0,24.0,23.0,25.0,310.0,50.0,94.0,290.0,50.0,0.0,90.0,335.0,408.0,408.0,8.7879
Azerbaijan,2023,2024,1,33.0,23.0,28.0,25.0,310.0,0.0,50.0,290.0,0.0,0.0,50.0,335.0,363.0,363.0,8.7879
Albania,2014,2019,4,55.0,0.0,0.0,445.0,0.0,0.0,65.0,380.0,0.0,0.0,65.0,445.0,445.0,445.0,6.9091
Albania,2015,2019,4,55.0,0.0,0.0,435.0,0.0,0.0,55.0,380.0,0.0,0.0,69.0,435.0,435.0,435.0,6.9091
Albania,2016,2020,11,58.0,0.0,0.0,10.0,445.0,0.0,75.0,380.0,0.0,0.0,50.0,455.0,455.0,455.0,6.5517
Albania,2017,2020,11,58.0,0.0,0.0,10.0,419.0,0.0,48.0,381.0,0.0,0.0,87.0,429.0,429.0,429.0,6.569
Albania,2018,2020,11,54.0,0.0,0.0,10.0,474.0,0.0,93.0,391.0,0.0,0.0,93.0,484.0,484.0,484.0,7.2407
Albania,2019,2021,1,55.0,0.0,0.0,10.0,471.0,0.0,92.0,389.0,0.0,0.0,92.0,481.0,481.0,481.0,7.0727
Albania,2020,2022,1,57.0,0.0,0.0,10.0,473.0,0.0,84.0,399.0,0.0,0.0,65.0,483.0,483.0,483.0,7.0
Albania,2021,2023,4,58.0,0.0,0.0,10.0,477.0,0.0,73.0,414.0,0.0,0.0,60.0,487.0,487.0,487.0,7.1379
Albania,2022,2023,12,55.0,0.0,0.0,10.0,416.0,0.0,46.0,380.0,0.0,0.0,49.0,426.0,426.0,426.0,6.9091
Albania,2023,2024,1,56.0,0.0,0.0,10.0,440.0,0.0,55.0,395.0,0.0,0.0,55.0,450.0,450.0,450.0,7.0536
Angola,2014,2016,10,1624.0,268.0,305.0,1400.0,300.0,0.0,50.0,1687.0,0.0,0.0,50.0,1700.0,2005.0,2005.0,1.0388
Angola,2015,2018,5,1672.0,305.0,333.0,1500.0,400.0,0.0,50.0,1878.0,0.0,0.0,50.0,1900.0,2233.0,2233.0,1.1232
Angola,2016,2021,11,2288.0,333.0,621.0,1600.0,400.0,0.0,50.0,2238.0,0.0,0.0,50.0,2000.0,2621.0,2621.0,0.9781
Angola,2017,2022,5,2664.0,621.0,827.0,1700.0,500.0,0.0,25.0,2381.0,0.0,0.0,20.0,2200.0,3027.0,3027.0,0.8938
Angola,2018,2022,5,2499.0,827.0,839.0,2200.0,600.0,0.0,50.0,2762.0,0.0,0.0,35.0,2800.0,3639.0,3639.0,1.1052
Angola,2019,2022,5,2511.0,839.0,868.0,2200.0,650.0,0.0,60.0,2819.0,0.0,0.0,60.0,2850.0,3718.0,3718.0,1.1227
Angola,2020,2023,8,2600.0,868.0,950.0,2300.0,650.0,0.0,60.0,2972.0,0.0,0.0,95.0,2950.0,3900.0,3900.0,1.1431
Angola,2021,2023,1,2600.0,950.0,930.0,2500.0,700.0,0.0,210.0,2970.0,0.0,0.0,190.0,3200.0,4130.0,4130.0,1.1423
Angola,2022,2024,1,2500.0,930.0,868.0,2400.0,700.0,0.0,260.0,2778.0,0.0,0.0,250.0,3100.0,3968.0,3968.0,1.1112
Angola,2023,2024,1,2500.0,868.0,718.0,2400.0,750.0,0.0,200.0,2800.0,0.0,0.0,200.0,3150.0,3868.0,3868.0,1.12
Argentina,2014,2018,9,3500.0,1408.0,2898.0,3300.0,6000.0,18963.0,3.0,29750.0,18448.0,0.0,3.0,9300.0,31161.0,31161.0,8.5
Argentina,2015,2019,5,3700.0,2898.0,1448.0,3300.0,6000.0,21653.0,3.0,29500.0,21679.0,1.0,2.0,9300.0,32401.0,32401.0,7.973
Argentina,2016,2019,11,4900.0,1448.0,5273.0,3700.0,7500.0,25986.0,11.0,41000.0,22951.0,1.0,8.0,11200.0,42459.0,42459.0,8.3673
Argentina,2017,2019,11,5200.0,5273.0,2407.0,3900.0,8500.0,22473.0,7.0,32000.0,24198.0,4.0,7.0,12400.0,37280.0,37280.0,6.1538
Argentina,2018,2020,11,6100.0,2407.0,2367.0,4100.0,9700.0,37244.0,4.0,51000.0,32879.0,0.0,3.0,13800.0,53411.0,53411.0,8.3607
Argentina,2019,2021,4,6300.0,2367.0,3619.0,4000.0,9500.0,36252.0,4.0,51000.0,39917.0,0.0,3.0,13500.0,53371.0,53371.0,8.0952
Argentina,2020,2022,4,6550.0,3619.0,1182.0,4000.0,9500.0,40942.0,5.0,52000.0,36544.0,2.0,5.0,13500.0,55624.0,55624.0,7.9389
Argentina,2021,2023,10,7100.0,1182.0,1798.0,4100.0,10100.0,34692.0,8.0,49500.0,38853.0,4.0,6.0,14200.0,50690.0,50690.0,6.9718
Argentina,2022,2024,1,6700.0,1798.0,1113.0,4200.0,7500.0,23000.0,15.0,34000.0,25740.0,8.0,10.0,11700.0,35813.0,35813.0,5.0746
Argentina,2023,2024,1,6900.0,1113.0,1028.0,4300.0,9800.0,41000.0,15.0,55000.0,34000.0,0.0,15.0,14100.0,56128.0,56128.0,7.971
Australia,2014,2023,5,60.0,62.0,68.0,125.0,300.0,64.0,0.0,495.0,54.0,0.0,0.0,425.0,557.0,557.0,8.25
Australia,2015,2023,5,53.0,68.0,56.0,125.0,225.0,63.0,1.0,400.0,57.0,0.0,1.0,350.0,469.0,469.0,7.5472
Australia,2016,2023,5,68.0,56.0,71.0,125.0,230.0,68.0,2.0,436.0,69.0,0.0,2.0,355.0,494.0,494.0,6.4118
Australia,2017,2023,5,53.0,71.0,47.0,120.0,220.0,73.0,2.0,387.0,69.0,0.0,2.0,340.0,460.0,460.0,7.3019
Australia,2018,2023,5,59.0,47.0,41.0,120.0,165.0,53.0,5.0,327.0,42.0,0.0,4.0,285.0,379.0,379.0,5.5424
Australia,2019,2023,5,38.0,41.0,26.0,120.0,118.0,50.0,5.0,268.0,49.0,0.0,4.0,238.0,314.0,314.0,7.0526
Australia,2020,2023,5,46.0,26.0,26.0,120.0,100.0,88.0,2.0,306.0,72.0,0.0,3.0,220.0,334.0,334.0,6.6522
Australia,2021,2023,5,53.0,26.0,35.0,120.0,215.0,87.0,1.0,430.0,97.0,0.0,1.0,335.0,457.0,457.0,8.1132
Australia,2022,2024,1,52.0,35.0,43.0,120.0,200.0,85.0,2.0,411.0,89.0,0.0,2.0,320.0,448.0,448.0,7.9038
Australia,2023,2024,1,50.0,43.0,48.0,120.0,190.0,60.0,0.0,375.0,60.0,0.0,0.0,310.0,418.0,418.0,7.5
Botswana,2014,2017,5,104.0,0.0,0.0,229.0,0.0,0.0,200.0,29.0,0.0,0.0,205.0,229.0,229.0,229.0,0.2788
Botswana,2015,2018,5,15.0,0.0,0.0,223.0,0.0,0.0,219.0,4.0,0.0,0.0,220.0,223.0,223.0,223.0,0.2667
Botswana,2016,2018,5,57.0,0.0,0.0,218.0,0.0,0.0,206.0,12.0,0.0,0.0,202.0,218.0,218.0,218.0,0.2105
Botswana,2017,2020,5,51.0,0.0,0.0,216.0,0.0,0.0,204.0,12.0,0.0,0.0,211.0,216.0,216.0,216.0,0.2353
Botswana,2018,2021,5,77.0,0.0,0.0,252.0,0.0,0.0,227.0,25.0,0.0,0.0,252.0,252.0,252.0,252.0,0.3247
Botswana,2019,2021,5,36.0,0.0,0.0,298.0,0.0,0.0,291.0,7.0,0.0,0.0,306.0,298.0,298.0,298.0,0.1944
Botswana,2020,2023,1,93.0,0.0,0.0,355.0,0.0,0.0,293.0,62.0,0.0,0.0,271.0,355.0,355.0,355.0,0.6667
Botswana,2021,2023,5,85.0,0.0,0.0,332.0,0.0,0.0,265.0,67.0,0.0,0.0,256.0,332.0,332.0,332.0,0.7882
Botswana,2022,2023,11,70.0,0.0,0.0,280.0,0.0,0.0,251.0,29.0,0.0,0.0,250.0,280.0,280.0,280.0,0.4143
Botswana,2023,2024,1,70.0,0.0,0.0,316.0,0.0,0.0,300.0,16.0,0.0,0.0,300.0,316.0,316.0,316.0,0.2286
Bangladesh,2014,2021,11,355.0,30.0,40.0,300.0,2450.0,0.0,399.0,2361.0,0.0,98.0,485.0,2750.0,2790.0,2790.0,6.6507
Bangladesh,2015,2021,11,378.0,40.0,23.0,300.0,3100.0,0.0,778.0,2605.0,0.0,122.0,1036.0,3400.0,3423.0,3423.0,6.8915
Bangladesh,2016,2021,11,405.0,23.0,137.0,300.0,3300.0,0.0,897.0,2817.0,0.0,187.0,1181.0,3600.0,3737.0,3737.0,6.9556
Bangladesh,2017,2021,11,436.0,137.0,187.0,300.0,4400.0,0.0,1476.0,3274.0,0.0,55.0,1145.0,4700.0,4887.0,4887.0,7.5092
Bangladesh,2018,2021,11,450.0,187.0,122.0,300.0,4600.0,0.0,1335.0,3500.0,0.0,1.0,1358.0,4900.0,5022.0,5022.0,7.7778
Bangladesh,2019,2022,7,510.0,122.0,210.0,300.0,5000.0,80.0,1368.0,4100.0,80.0,1.0,2003.0,5300.0,5590.0,5590.0,8.0392
Bangladesh,2020,2022,7,540.0,210.0,444.0,400.0,6500.0,0.0,2434.0,4700.0,0.0,0.0,1838.0,6900.0,7344.0,7344.0,8.7037
Bangladesh,2021,2022,12,550.0,444.0,189.0,400.0,6500.0,0.0,1945.0,4700.0,0.0,0.0,2456.0,6900.0,7089.0,7089.0,8.5455
Bangladesh,2022,2023,12,560.0,189.0,177.0,400.0,6500.0,0.0,2038.0,4850.0,0.0,0.0,1145.0,6900.0,7077.0,7077.0,8.6607
Bangladesh,2023,2024,1,570.0,177.0,177.0,450.0,6000.0,0.0,1500.0,4950.0,0.0,0.0,1700.0,6450.0,6627.0,6627.0,8.6842
Bosnia and Herzegovina,2014,2017,5,170.0,137.0,146.0,125.0,850.0,75.0,261.0,798.0,75.0,0.0,261.0,975.0,1196.0,1196.0,4.6941
Bosnia and Herzegovina,2015,2018,9,194.0,146.0,153.0,125.0,900.0,34.0,280.0,786.0,5.0,0.0,280.0,1025.0,1212.0,1212.0,4.0515
Bosnia and Herzegovina,2016,2023,5,191.0,153.0,375.0,125.0,1000.0,44.0,213.0,1178.0,10.0,0.0,213.0,1125.0,1544.0,1544.0,6.1675
Bosnia and Herzegovina,2017,2023,5,194.0,375.0,187.0,125.0,1000.0,1.0,229.0,709.0,1.0,0.0,229.0,1125.0,1313.0,1313.0,3.6546
Bosnia and Herzegovina,2018,2023,5,182.0,187.0,350.0,130.0,1150.0,7.0,178.0,1272.0,7.0,0.0,178.0,1280.0,1637.0,1637.0,6.989
Bosnia and Herzegovina,2019,2023,5,192.0,350.0,355.0,130.0,1300.0,3.0,202.0,1236.0,3.0,0.0,202.0,1430.0,1788.0,1788.0,6.4375
Bosnia and Herzegovina,2020,2023,5,201.0,355.0,349.0,130.0,1400.0,12.0,110.0,1426.0,12.0,0.0,110.0,1530.0,1891.0,1891.0,7.0945
Bosnia and Herzegovina,2021,2023,5,198.0,349.0,149.0,130.0,1140.0,8.0,185.0,893.0,8.0,0.0,185.0,1270.0,1427.0,1427.0,4.5101
Bosnia and Herzegovina,2022,2023,12,135.0,149.0,115.0,100.0,680.0,3.0,197.0,552.0,3.0,0.0,197.0,780.0,898.0,898.0,4.0889
Bosnia and Herzegovina,2023,2024,1,200.0,115.0,110.0,100.0,1000.0,5.0,200.0,900.0,5.0,0.0,200.0,1100.0,1215.0,1215.0,4.5
Bolivia,2014,2017,9,442.0,84.0,116.0,350.0,650.0,32.0,7.0,1057.0,79.0,0.0,6.0,1000.0,1148.0,1148.0,2.3914
Bolivia,2015,2019,12,394.0,116.0,108.0,350.0,550.0,99.0,6.0,985.0,60.0,0.0,8.0,900.0,1107.0,1107.0,2.5
Bolivia,2016,2020,7,425.0,108.0,134.0,350.0,700.0,3.0,124.0,955.0,3.0,0.0,128.0,1050.0,1187.0,1187.0,2.2471
Bolivia,2017,2020,7,462.0,134.0,316.0,350.0,800.0,3.0,74.0,1261.0,3.0,0.0,59.0,1150.0,1469.0,1469.0,2.7294
Bolivia,2018,2020,7,468.0,316.0,149.0,350.0,800.0,11.0,6.0,988.0,9.0,0.0,4.0,1150.0,1310.0,1310.0,2.1111
Bolivia,2019,2021,5,423.0,149.0,117.0,350.0,650.0,4.0,17.0,955.0,3.0,0.0,39.0,1000.0,1121.0,1121.0,2.2577
Bolivia,2020,2023,8,410.0,117.0,211.0,350.0,850.0,19.0,63.0,1250.0,45.0,0.0,46.0,1200.0,1430.0,1430.0,3.0488
Bolivia,2021,2023,8,408.0,211.0,119.0,350.0,700.0,45.0,17.0,986.0,18.0,0.0,11.0,1050.0,1214.0,1214.0,2.4167
Bolivia,2022,2023,11,436.0,119.0,119.0,350.0,750.0,2.0,2.0,1100.0,2.0,0.0,2.0,1100.0,1221.0,1221.0,2.5229
