Country,Market Year,Calendar Year,Month,Area Harvested,Area Planted,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Crush,Ending Stocks,Feed Waste Dom. Cons.,Food Use Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Total Distribution,Total Dom. Cons.,Total Supply,Trees,Yield
WORLD,2014,2024,1,20480.0,130.0,289.0,0.0,36.0,0.0,71.0,16476.0,289.0,99.0,0.0,0.0,42.0,0.0,0.0,68.0,16549.0,16906.0,16575.0,16906.0,0.0,0.8081
WORLD,2015,2024,1,21387.0,147.0,289.0,0.0,18.0,0.0,40.0,15828.0,251.0,103.0,0.0,0.0,44.0,0.0,0.0,55.0,15882.0,16226.0,15931.0,16226.0,0.0,0.7426
WORLD,2016,2024,1,22489.0,155.0,251.0,0.0,61.0,0.0,57.0,17267.0,255.0,105.0,0.0,0.0,89.0,0.0,0.0,70.0,17395.0,17716.0,17372.0,17716.0,0.0,0.7735
WORLD,2017,2024,1,23435.0,168.0,255.0,0.0,125.0,0.0,193.0,18649.0,230.0,111.0,0.0,0.0,163.0,0.0,0.0,180.0,18718.0,19153.0,18760.0,19153.0,0.0,0.7987
WORLD,2018,2024,1,23885.0,175.0,230.0,0.0,66.0,0.0,159.0,19449.0,265.0,107.0,0.0,0.0,68.0,0.0,0.0,162.0,19497.0,19889.0,19556.0,19889.0,0.0,0.8163
WORLD,2019,2024,1,24306.0,180.0,265.0,0.0,67.0,0.0,135.0,19398.0,183.0,109.0,0.0,0.0,76.0,0.0,0.0,144.0,19357.0,19766.0,19507.0,19766.0,0.0,0.7964
WORLD,2020,2024,1,24620.0,180.0,183.0,0.0,54.0,0.0,163.0,19076.0,175.0,109.0,0.0,0.0,58.0,0.0,0.0,144.0,19091.0,19418.0,19185.0,19418.0,0.0,0.7754
WORLD,2021,2024,1,25199.0,185.0,175.0,0.0,56.0,0.0,178.0,18924.0,293.0,114.0,0.0,0.0,124.0,0.0,0.0,143.0,19137.0,19455.0,19038.0,19455.0,0.0,0.7594
WORLD,2022,2024,1,26320.0,190.0,293.0,0.0,61.0,0.0,177.0,19881.0,263.0,129.0,0.0,0.0,45.0,0.0,0.0,155.0,19870.0,20318.0,20010.0,20318.0,0.0,0.7549
WORLD,2023,2024,1,26905.0,195.0,263.0,0.0,47.0,0.0,148.0,20436.0,290.0,142.0,0.0,0.0,49.0,0.0,0.0,148.0,20506.0,20917.0,20578.0,20917.0,0.0,0.7622
